,cfrplus Return Against random,Order
0,2.0,First Moving
1,6.0,First Moving
2,2.0,First Moving
3,4.0,First Moving
4,2.0,First Moving
5,2.0,First Moving
6,1.0,First Moving
7,2.0,First Moving
8,0.0,First Moving
9,2.0,First Moving
10,3.0,First Moving
11,4.0,First Moving
12,0.0,First Moving
13,2.0,First Moving
14,6.0,First Moving
15,4.0,First Moving
16,7.0,First Moving
17,7.0,First Moving
18,6.0,First Moving
19,-2.0,First Moving
20,4.0,First Moving
21,3.0,First Moving
22,6.0,First Moving
23,0.0,First Moving
24,2.0,First Moving
25,2.0,First Moving
26,0.0,First Moving
27,6.0,First Moving
28,6.0,First Moving
29,3.0,First Moving
30,2.0,First Moving
31,4.0,First Moving
32,3.0,First Moving
33,2.0,First Moving
34,3.0,First Moving
35,0.0,First Moving
36,2.0,First Moving
37,2.0,First Moving
38,4.0,First Moving
39,3.0,First Moving
40,2.0,First Moving
41,-2.0,First Moving
42,-2.0,First Moving
43,0.0,First Moving
44,3.0,First Moving
45,3.0,First Moving
46,2.0,First Moving
47,2.0,First Moving
48,6.0,First Moving
49,2.0,First Moving
50,2.0,First Moving
51,4.0,First Moving
52,1.0,First Moving
53,3.0,First Moving
54,4.0,First Moving
55,4.0,First Moving
56,0.0,First Moving
57,0.0,First Moving
58,0.0,First Moving
59,6.0,First Moving
60,6.0,First Moving
61,1.0,First Moving
62,3.0,First Moving
63,2.0,First Moving
64,4.0,First Moving
65,7.0,First Moving
66,2.0,First Moving
67,0.0,First Moving
68,2.0,First Moving
69,1.0,First Moving
70,2.0,First Moving
71,6.0,First Moving
72,0.0,First Moving
73,0.0,First Moving
74,6.0,First Moving
75,2.0,First Moving
76,6.0,First Moving
77,3.0,First Moving
78,1.0,First Moving
79,7.0,First Moving
80,2.0,First Moving
81,0.0,First Moving
82,4.0,First Moving
83,3.0,First Moving
84,6.0,First Moving
85,0.0,First Moving
86,0.0,First Moving
87,2.0,First Moving
88,1.0,First Moving
89,2.0,First Moving
90,2.0,First Moving
91,4.0,First Moving
92,1.0,First Moving
93,2.0,First Moving
94,2.0,First Moving
95,1.0,First Moving
96,4.0,First Moving
97,2.0,First Moving
98,2.0,First Moving
99,4.0,First Moving
100,2.0,First Moving
101,0.0,First Moving
102,0.0,First Moving
103,2.0,First Moving
104,4.0,First Moving
105,2.0,First Moving
106,4.0,First Moving
107,6.0,First Moving
108,2.0,First Moving
109,2.0,First Moving
110,-2.0,First Moving
111,7.0,First Moving
112,4.0,First Moving
113,0.0,First Moving
114,2.0,First Moving
115,4.0,First Moving
116,4.0,First Moving
117,3.0,First Moving
118,0.0,First Moving
119,6.0,First Moving
120,2.0,First Moving
121,0.0,First Moving
122,1.0,First Moving
123,3.0,First Moving
124,4.0,First Moving
125,1.0,First Moving
126,0.0,First Moving
127,-2.0,First Moving
128,2.0,First Moving
129,2.0,First Moving
130,3.0,First Moving
131,6.0,First Moving
132,6.0,First Moving
133,7.0,First Moving
134,3.0,First Moving
135,0.0,First Moving
136,4.0,First Moving
137,0.0,First Moving
138,3.0,First Moving
139,1.0,First Moving
140,0.0,First Moving
141,2.0,First Moving
142,0.0,First Moving
143,4.0,First Moving
144,6.0,First Moving
145,2.0,First Moving
146,3.0,First Moving
147,1.0,First Moving
148,2.0,First Moving
149,2.0,First Moving
150,0.0,First Moving
151,2.0,First Moving
152,4.0,First Moving
153,-2.0,First Moving
154,4.0,First Moving
155,0.0,First Moving
156,0.0,First Moving
157,1.0,First Moving
158,3.0,First Moving
159,4.0,First Moving
160,2.0,First Moving
161,2.0,First Moving
162,0.0,First Moving
163,6.0,First Moving
164,2.0,First Moving
165,7.0,First Moving
166,2.0,First Moving
167,2.0,First Moving
168,6.0,First Moving
169,0.0,First Moving
170,2.0,First Moving
171,0.0,First Moving
172,2.0,First Moving
173,3.0,First Moving
174,4.0,First Moving
175,2.0,First Moving
176,-2.0,First Moving
177,3.0,First Moving
178,1.0,First Moving
179,-2.0,First Moving
180,0.0,First Moving
181,0.0,First Moving
182,2.0,First Moving
183,4.0,First Moving
184,6.0,First Moving
185,4.0,First Moving
186,2.0,First Moving
187,3.0,First Moving
188,5.0,First Moving
189,-2.0,First Moving
190,2.0,First Moving
191,2.0,First Moving
192,2.0,First Moving
193,1.0,First Moving
194,3.0,First Moving
195,3.0,First Moving
196,2.0,First Moving
197,4.0,First Moving
198,3.0,First Moving
199,3.0,First Moving
200,3.0,First Moving
201,3.0,First Moving
202,0.0,First Moving
203,4.0,First Moving
204,-2.0,First Moving
205,0.0,First Moving
206,0.0,First Moving
207,4.0,First Moving
208,2.0,First Moving
209,2.0,First Moving
210,2.0,First Moving
211,0.0,First Moving
212,-2.0,First Moving
213,0.0,First Moving
214,4.0,First Moving
215,2.0,First Moving
216,2.0,First Moving
217,5.0,First Moving
218,7.0,First Moving
219,4.0,First Moving
220,2.0,First Moving
221,4.0,First Moving
222,1.0,First Moving
223,4.0,First Moving
224,0.0,First Moving
225,4.0,First Moving
226,3.0,First Moving
227,4.0,First Moving
228,4.0,First Moving
229,2.0,First Moving
230,4.0,First Moving
231,4.0,First Moving
232,1.0,First Moving
233,4.0,First Moving
234,3.0,First Moving
235,3.0,First Moving
236,0.0,First Moving
237,4.0,First Moving
238,2.0,First Moving
239,0.0,First Moving
240,1.0,First Moving
241,2.0,First Moving
242,2.0,First Moving
243,5.0,First Moving
244,4.0,First Moving
245,0.0,First Moving
246,4.0,First Moving
247,-2.0,First Moving
248,4.0,First Moving
249,2.0,First Moving
250,-2.0,First Moving
251,0.0,First Moving
252,7.0,First Moving
253,2.0,First Moving
254,-2.0,First Moving
255,6.0,First Moving
256,3.0,First Moving
257,4.0,First Moving
258,2.0,First Moving
259,2.0,First Moving
260,2.0,First Moving
261,-2.0,First Moving
262,0.0,First Moving
263,1.0,First Moving
264,4.0,First Moving
265,2.0,First Moving
266,1.0,First Moving
267,2.0,First Moving
268,3.0,First Moving
269,2.0,First Moving
270,-2.0,First Moving
271,0.0,First Moving
272,2.0,First Moving
273,5.0,First Moving
274,1.0,First Moving
275,4.0,First Moving
276,4.0,First Moving
277,0.0,First Moving
278,2.0,First Moving
279,3.0,First Moving
280,4.0,First Moving
281,3.0,First Moving
282,0.0,First Moving
283,3.0,First Moving
284,3.0,First Moving
285,4.0,First Moving
286,3.0,First Moving
287,0.0,First Moving
288,4.0,First Moving
289,4.0,First Moving
290,-2.0,First Moving
291,2.0,First Moving
292,3.0,First Moving
293,2.0,First Moving
294,5.0,First Moving
295,0.0,First Moving
296,4.0,First Moving
297,0.0,First Moving
298,4.0,First Moving
299,2.0,First Moving
300,0.0,First Moving
301,0.0,First Moving
302,0.0,First Moving
303,1.0,First Moving
304,2.0,First Moving
305,1.0,First Moving
306,4.0,First Moving
307,1.0,First Moving
308,4.0,First Moving
309,2.0,First Moving
310,2.0,First Moving
311,2.0,First Moving
312,5.0,First Moving
313,2.0,First Moving
314,6.0,First Moving
315,6.0,First Moving
316,-2.0,First Moving
317,0.0,First Moving
318,0.0,First Moving
319,3.0,First Moving
320,2.0,First Moving
321,1.0,First Moving
322,2.0,First Moving
323,0.0,First Moving
324,5.0,First Moving
325,6.0,First Moving
326,4.0,First Moving
327,5.0,First Moving
328,2.0,First Moving
329,0.0,First Moving
330,4.0,First Moving
331,3.0,First Moving
332,6.0,First Moving
333,3.0,First Moving
334,2.0,First Moving
335,2.0,First Moving
336,2.0,First Moving
337,4.0,First Moving
338,3.0,First Moving
339,0.0,First Moving
340,1.0,First Moving
341,4.0,First Moving
342,5.0,First Moving
343,4.0,First Moving
344,4.0,First Moving
345,4.0,First Moving
346,4.0,First Moving
347,5.0,First Moving
348,4.0,First Moving
349,0.0,First Moving
350,0.0,First Moving
351,1.0,First Moving
352,4.0,First Moving
353,6.0,First Moving
354,2.0,First Moving
355,4.0,First Moving
356,1.0,First Moving
357,1.0,First Moving
358,0.0,First Moving
359,5.0,First Moving
360,7.0,First Moving
361,-2.0,First Moving
362,4.0,First Moving
363,2.0,First Moving
364,6.0,First Moving
365,0.0,First Moving
366,3.0,First Moving
367,2.0,First Moving
368,1.0,First Moving
369,1.0,First Moving
370,2.0,First Moving
371,4.0,First Moving
372,4.0,First Moving
373,4.0,First Moving
374,0.0,First Moving
375,3.0,First Moving
376,2.0,First Moving
377,6.0,First Moving
378,4.0,First Moving
379,4.0,First Moving
380,2.0,First Moving
381,0.0,First Moving
382,-2.0,First Moving
383,2.0,First Moving
384,0.0,First Moving
385,0.0,First Moving
386,4.0,First Moving
387,0.0,First Moving
388,2.0,First Moving
389,7.0,First Moving
390,6.0,First Moving
391,2.0,First Moving
392,1.0,First Moving
393,-2.0,First Moving
394,4.0,First Moving
395,1.0,First Moving
396,1.0,First Moving
397,5.0,First Moving
398,2.0,First Moving
399,4.0,First Moving
400,0.0,First Moving
401,4.0,First Moving
402,2.0,First Moving
403,2.0,First Moving
404,4.0,First Moving
405,2.0,First Moving
406,2.0,First Moving
407,6.0,First Moving
408,5.0,First Moving
409,2.0,First Moving
410,2.0,First Moving
411,2.0,First Moving
412,2.0,First Moving
413,4.0,First Moving
414,0.0,First Moving
415,0.0,First Moving
416,3.0,First Moving
417,4.0,First Moving
418,7.0,First Moving
419,2.0,First Moving
420,4.0,First Moving
421,-2.0,First Moving
422,6.0,First Moving
423,0.0,First Moving
424,2.0,First Moving
425,0.0,First Moving
426,1.0,First Moving
427,0.0,First Moving
428,4.0,First Moving
429,4.0,First Moving
430,1.0,First Moving
431,0.0,First Moving
432,6.0,First Moving
433,1.0,First Moving
434,4.0,First Moving
435,4.0,First Moving
436,4.0,First Moving
437,2.0,First Moving
438,4.0,First Moving
439,-2.0,First Moving
440,2.0,First Moving
441,4.0,First Moving
442,1.0,First Moving
443,4.0,First Moving
444,6.0,First Moving
445,6.0,First Moving
446,4.0,First Moving
447,4.0,First Moving
448,6.0,First Moving
449,0.0,First Moving
450,4.0,First Moving
451,4.0,First Moving
452,4.0,First Moving
453,1.0,First Moving
454,3.0,First Moving
455,1.0,First Moving
456,1.0,First Moving
457,4.0,First Moving
458,2.0,First Moving
459,-2.0,First Moving
460,4.0,First Moving
461,7.0,First Moving
462,0.0,First Moving
463,0.0,First Moving
464,1.0,First Moving
465,6.0,First Moving
466,2.0,First Moving
467,2.0,First Moving
468,4.0,First Moving
469,0.0,First Moving
470,2.0,First Moving
471,2.0,First Moving
472,4.0,First Moving
473,0.0,First Moving
474,3.0,First Moving
475,0.0,First Moving
476,4.0,First Moving
477,2.0,First Moving
478,2.0,First Moving
479,0.0,First Moving
480,4.0,First Moving
481,0.0,First Moving
482,0.0,First Moving
483,1.0,First Moving
484,0.0,First Moving
485,6.0,First Moving
486,1.0,First Moving
487,4.0,First Moving
488,5.0,First Moving
489,0.0,First Moving
490,2.0,First Moving
491,3.0,First Moving
492,4.0,First Moving
493,2.0,First Moving
494,4.0,First Moving
495,4.0,First Moving
496,4.0,First Moving
497,2.0,First Moving
498,6.0,First Moving
499,4.0,First Moving
500,4.0,First Moving
501,0.0,First Moving
502,4.0,First Moving
503,1.0,First Moving
504,0.0,First Moving
505,3.0,First Moving
506,3.0,First Moving
507,1.0,First Moving
508,4.0,First Moving
509,6.0,First Moving
510,4.0,First Moving
511,3.0,First Moving
512,4.0,First Moving
513,0.0,First Moving
514,6.0,First Moving
515,5.0,First Moving
516,1.0,First Moving
517,3.0,First Moving
518,0.0,First Moving
519,0.0,First Moving
520,2.0,First Moving
521,2.0,First Moving
522,0.0,First Moving
523,4.0,First Moving
524,5.0,First Moving
525,6.0,First Moving
526,1.0,First Moving
527,4.0,First Moving
528,2.0,First Moving
529,6.0,First Moving
530,4.0,First Moving
531,4.0,First Moving
532,0.0,First Moving
533,0.0,First Moving
534,2.0,First Moving
535,2.0,First Moving
536,6.0,First Moving
537,4.0,First Moving
538,1.0,First Moving
539,1.0,First Moving
540,0.0,First Moving
541,4.0,First Moving
542,4.0,First Moving
543,4.0,First Moving
544,4.0,First Moving
545,2.0,First Moving
546,2.0,First Moving
547,2.0,First Moving
548,2.0,First Moving
549,5.0,First Moving
550,3.0,First Moving
551,0.0,First Moving
552,6.0,First Moving
553,3.0,First Moving
554,0.0,First Moving
555,6.0,First Moving
556,4.0,First Moving
557,0.0,First Moving
558,2.0,First Moving
559,0.0,First Moving
560,5.0,First Moving
561,6.0,First Moving
562,4.0,First Moving
563,4.0,First Moving
564,-2.0,First Moving
565,2.0,First Moving
566,1.0,First Moving
567,4.0,First Moving
568,4.0,First Moving
569,-2.0,First Moving
570,2.0,First Moving
571,6.0,First Moving
572,3.0,First Moving
573,0.0,First Moving
574,2.0,First Moving
575,2.0,First Moving
576,4.0,First Moving
577,2.0,First Moving
578,2.0,First Moving
579,2.0,First Moving
580,0.0,First Moving
581,2.0,First Moving
582,4.0,First Moving
583,4.0,First Moving
584,0.0,First Moving
585,4.0,First Moving
586,4.0,First Moving
587,3.0,First Moving
588,1.0,First Moving
589,0.0,First Moving
590,6.0,First Moving
591,-2.0,First Moving
592,4.0,First Moving
593,4.0,First Moving
594,2.0,First Moving
595,4.0,First Moving
596,4.0,First Moving
597,0.0,First Moving
598,0.0,First Moving
599,4.0,First Moving
600,0.0,First Moving
601,4.0,First Moving
602,4.0,First Moving
603,2.0,First Moving
604,0.0,First Moving
605,2.0,First Moving
606,7.0,First Moving
607,4.0,First Moving
608,0.0,First Moving
609,2.0,First Moving
610,0.0,First Moving
611,6.0,First Moving
612,5.0,First Moving
613,4.0,First Moving
614,0.0,First Moving
615,2.0,First Moving
616,2.0,First Moving
617,1.0,First Moving
618,6.0,First Moving
619,-2.0,First Moving
620,4.0,First Moving
621,4.0,First Moving
622,2.0,First Moving
623,2.0,First Moving
624,6.0,First Moving
625,2.0,First Moving
626,4.0,First Moving
627,-2.0,First Moving
628,2.0,First Moving
629,0.0,First Moving
630,2.0,First Moving
631,6.0,First Moving
632,2.0,First Moving
633,4.0,First Moving
634,1.0,First Moving
635,0.0,First Moving
636,4.0,First Moving
637,7.0,First Moving
638,3.0,First Moving
639,3.0,First Moving
640,2.0,First Moving
641,4.0,First Moving
642,1.0,First Moving
643,4.0,First Moving
644,4.0,First Moving
645,2.0,First Moving
646,2.0,First Moving
647,1.0,First Moving
648,2.0,First Moving
649,0.0,First Moving
650,4.0,First Moving
651,2.0,First Moving
652,3.0,First Moving
653,4.0,First Moving
654,0.0,First Moving
655,4.0,First Moving
656,-2.0,First Moving
657,0.0,First Moving
658,7.0,First Moving
659,4.0,First Moving
660,3.0,First Moving
661,5.0,First Moving
662,3.0,First Moving
663,6.0,First Moving
664,0.0,First Moving
665,3.0,First Moving
666,3.0,First Moving
667,2.0,First Moving
668,2.0,First Moving
669,4.0,First Moving
670,2.0,First Moving
671,3.0,First Moving
672,0.0,First Moving
673,4.0,First Moving
674,0.0,First Moving
675,7.0,First Moving
676,1.0,First Moving
677,0.0,First Moving
678,3.0,First Moving
679,6.0,First Moving
680,2.0,First Moving
681,2.0,First Moving
682,0.0,First Moving
683,0.0,First Moving
684,2.0,First Moving
685,2.0,First Moving
686,1.0,First Moving
687,3.0,First Moving
688,4.0,First Moving
689,2.0,First Moving
690,2.0,First Moving
691,2.0,First Moving
692,0.0,First Moving
693,3.0,First Moving
694,4.0,First Moving
695,2.0,First Moving
696,4.0,First Moving
697,2.0,First Moving
698,0.0,First Moving
699,0.0,First Moving
700,0.0,First Moving
701,4.0,First Moving
702,3.0,First Moving
703,2.0,First Moving
704,1.0,First Moving
705,2.0,First Moving
706,4.0,First Moving
707,2.0,First Moving
708,4.0,First Moving
709,5.0,First Moving
710,3.0,First Moving
711,6.0,First Moving
712,4.0,First Moving
713,1.0,First Moving
714,1.0,First Moving
715,0.0,First Moving
716,2.0,First Moving
717,0.0,First Moving
718,6.0,First Moving
719,6.0,First Moving
720,4.0,First Moving
721,4.0,First Moving
722,5.0,First Moving
723,2.0,First Moving
724,0.0,First Moving
725,0.0,First Moving
726,4.0,First Moving
727,3.0,First Moving
728,2.0,First Moving
729,2.0,First Moving
730,2.0,First Moving
731,3.0,First Moving
732,4.0,First Moving
733,4.0,First Moving
734,0.0,First Moving
735,1.0,First Moving
736,3.0,First Moving
737,0.0,First Moving
738,0.0,First Moving
739,0.0,First Moving
740,0.0,First Moving
741,3.0,First Moving
742,6.0,First Moving
743,6.0,First Moving
744,0.0,First Moving
745,0.0,First Moving
746,4.0,First Moving
747,4.0,First Moving
748,4.0,First Moving
749,4.0,First Moving
750,2.0,First Moving
751,0.0,First Moving
752,4.0,First Moving
753,4.0,First Moving
754,4.0,First Moving
755,6.0,First Moving
756,0.0,First Moving
757,6.0,First Moving
758,5.0,First Moving
759,2.0,First Moving
760,0.0,First Moving
761,-2.0,First Moving
762,6.0,First Moving
763,-2.0,First Moving
764,4.0,First Moving
765,3.0,First Moving
766,0.0,First Moving
767,1.0,First Moving
768,0.0,First Moving
769,1.0,First Moving
770,4.0,First Moving
771,4.0,First Moving
772,6.0,First Moving
773,5.0,First Moving
774,0.0,First Moving
775,0.0,First Moving
776,4.0,First Moving
777,0.0,First Moving
778,3.0,First Moving
779,0.0,First Moving
780,2.0,First Moving
781,3.0,First Moving
782,1.0,First Moving
783,2.0,First Moving
784,0.0,First Moving
785,7.0,First Moving
786,6.0,First Moving
787,2.0,First Moving
788,3.0,First Moving
789,2.0,First Moving
790,4.0,First Moving
791,2.0,First Moving
792,-2.0,First Moving
793,5.0,First Moving
794,2.0,First Moving
795,6.0,First Moving
796,2.0,First Moving
797,0.0,First Moving
798,0.0,First Moving
799,7.0,First Moving
800,2.0,First Moving
801,4.0,First Moving
802,7.0,First Moving
803,1.0,First Moving
804,4.0,First Moving
805,0.0,First Moving
806,6.0,First Moving
807,4.0,First Moving
808,3.0,First Moving
809,1.0,First Moving
810,7.0,First Moving
811,3.0,First Moving
812,2.0,First Moving
813,2.0,First Moving
814,7.0,First Moving
815,-2.0,First Moving
816,2.0,First Moving
817,4.0,First Moving
818,6.0,First Moving
819,2.0,First Moving
820,4.0,First Moving
821,-2.0,First Moving
822,2.0,First Moving
823,3.0,First Moving
824,0.0,First Moving
825,4.0,First Moving
826,5.0,First Moving
827,2.0,First Moving
828,3.0,First Moving
829,6.0,First Moving
830,0.0,First Moving
831,0.0,First Moving
832,6.0,First Moving
833,2.0,First Moving
834,2.0,First Moving
835,0.0,First Moving
836,0.0,First Moving
837,2.0,First Moving
838,0.0,First Moving
839,4.0,First Moving
840,1.0,First Moving
841,2.0,First Moving
842,7.0,First Moving
843,0.0,First Moving
844,3.0,First Moving
845,2.0,First Moving
846,2.0,First Moving
847,4.0,First Moving
848,2.0,First Moving
849,0.0,First Moving
850,0.0,First Moving
851,1.0,First Moving
852,2.0,First Moving
853,1.0,First Moving
854,2.0,First Moving
855,2.0,First Moving
856,2.0,First Moving
857,0.0,First Moving
858,0.0,First Moving
859,4.0,First Moving
860,4.0,First Moving
861,2.0,First Moving
862,2.0,First Moving
863,2.0,First Moving
864,3.0,First Moving
865,-2.0,First Moving
866,2.0,First Moving
867,2.0,First Moving
868,-2.0,First Moving
869,1.0,First Moving
870,2.0,First Moving
871,0.0,First Moving
872,7.0,First Moving
873,0.0,First Moving
874,0.0,First Moving
875,2.0,First Moving
876,0.0,First Moving
877,2.0,First Moving
878,2.0,First Moving
879,2.0,First Moving
880,2.0,First Moving
881,2.0,First Moving
882,2.0,First Moving
883,4.0,First Moving
884,0.0,First Moving
885,2.0,First Moving
886,0.0,First Moving
887,2.0,First Moving
888,4.0,First Moving
889,5.0,First Moving
890,0.0,First Moving
891,6.0,First Moving
892,1.0,First Moving
893,4.0,First Moving
894,4.0,First Moving
895,2.0,First Moving
896,4.0,First Moving
897,0.0,First Moving
898,6.0,First Moving
899,0.0,First Moving
900,0.0,First Moving
901,6.0,First Moving
902,0.0,First Moving
903,6.0,First Moving
904,4.0,First Moving
905,2.0,First Moving
906,2.0,First Moving
907,0.0,First Moving
908,0.0,First Moving
909,6.0,First Moving
910,2.0,First Moving
911,2.0,First Moving
912,0.0,First Moving
913,1.0,First Moving
914,5.0,First Moving
915,2.0,First Moving
916,6.0,First Moving
917,0.0,First Moving
918,0.0,First Moving
919,4.0,First Moving
920,0.0,First Moving
921,6.0,First Moving
922,4.0,First Moving
923,6.0,First Moving
924,2.0,First Moving
925,-2.0,First Moving
926,4.0,First Moving
927,4.0,First Moving
928,2.0,First Moving
929,0.0,First Moving
930,1.0,First Moving
931,3.0,First Moving
932,4.0,First Moving
933,2.0,First Moving
934,2.0,First Moving
935,1.0,First Moving
936,5.0,First Moving
937,3.0,First Moving
938,0.0,First Moving
939,4.0,First Moving
940,2.0,First Moving
941,0.0,First Moving
942,4.0,First Moving
943,2.0,First Moving
944,1.0,First Moving
945,0.0,First Moving
946,6.0,First Moving
947,6.0,First Moving
948,0.0,First Moving
949,2.0,First Moving
950,2.0,First Moving
951,0.0,First Moving
952,1.0,First Moving
953,-2.0,First Moving
954,6.0,First Moving
955,4.0,First Moving
956,4.0,First Moving
957,2.0,First Moving
958,4.0,First Moving
959,4.0,First Moving
960,2.0,First Moving
961,2.0,First Moving
962,3.0,First Moving
963,4.0,First Moving
964,2.0,First Moving
965,0.0,First Moving
966,0.0,First Moving
967,7.0,First Moving
968,5.0,First Moving
969,0.0,First Moving
970,2.0,First Moving
971,1.0,First Moving
972,4.0,First Moving
973,6.0,First Moving
974,2.0,First Moving
975,6.0,First Moving
976,3.0,First Moving
977,5.0,First Moving
978,4.0,First Moving
979,2.0,First Moving
980,2.0,First Moving
981,3.0,First Moving
982,6.0,First Moving
983,4.0,First Moving
984,2.0,First Moving
985,2.0,First Moving
986,0.0,First Moving
987,3.0,First Moving
988,0.0,First Moving
989,6.0,First Moving
990,0.0,First Moving
991,0.0,First Moving
992,0.0,First Moving
993,2.0,First Moving
994,2.0,First Moving
995,2.0,First Moving
996,0.0,First Moving
997,4.0,First Moving
998,0.0,First Moving
999,4.0,First Moving
1000,-2.0,Second Moving
1001,0.0,Second Moving
1002,-3.0,Second Moving
1003,0.0,Second Moving
1004,-1.0,Second Moving
1005,-5.0,Second Moving
1006,0.0,Second Moving
1007,-2.0,Second Moving
1008,0.0,Second Moving
1009,-3.0,Second Moving
1010,-6.0,Second Moving
1011,-3.0,Second Moving
1012,-1.0,Second Moving
1013,-1.0,Second Moving
1014,-1.0,Second Moving
1015,-2.0,Second Moving
1016,2.0,Second Moving
1017,-2.0,Second Moving
1018,4.0,Second Moving
1019,-4.0,Second Moving
1020,-4.0,Second Moving
1021,0.0,Second Moving
1022,0.0,Second Moving
1023,-2.0,Second Moving
1024,-3.0,Second Moving
1025,-4.0,Second Moving
1026,-4.0,Second Moving
1027,0.0,Second Moving
1028,-6.0,Second Moving
1029,0.0,Second Moving
1030,-3.0,Second Moving
1031,-1.0,Second Moving
1032,-4.0,Second Moving
1033,0.0,Second Moving
1034,0.0,Second Moving
1035,0.0,Second Moving
1036,-2.0,Second Moving
1037,-1.0,Second Moving
1038,0.0,Second Moving
1039,-2.0,Second Moving
1040,-2.0,Second Moving
1041,-2.0,Second Moving
1042,-2.0,Second Moving
1043,0.0,Second Moving
1044,-2.0,Second Moving
1045,-4.0,Second Moving
1046,0.0,Second Moving
1047,-2.0,Second Moving
1048,-7.0,Second Moving
1049,-2.0,Second Moving
1050,-2.0,Second Moving
1051,-2.0,Second Moving
1052,-2.0,Second Moving
1053,-2.0,Second Moving
1054,-4.0,Second Moving
1055,-1.0,Second Moving
1056,-2.0,Second Moving
1057,-1.0,Second Moving
1058,4.0,Second Moving
1059,0.0,Second Moving
1060,2.0,Second Moving
1061,-2.0,Second Moving
1062,0.0,Second Moving
1063,-2.0,Second Moving
1064,-2.0,Second Moving
1065,-2.0,Second Moving
1066,0.0,Second Moving
1067,-2.0,Second Moving
1068,-2.0,Second Moving
1069,-1.0,Second Moving
1070,2.0,Second Moving
1071,-1.0,Second Moving
1072,0.0,Second Moving
1073,-1.0,Second Moving
1074,-2.0,Second Moving
1075,-2.0,Second Moving
1076,-4.0,Second Moving
1077,-4.0,Second Moving
1078,0.0,Second Moving
1079,-4.0,Second Moving
1080,0.0,Second Moving
1081,-3.0,Second Moving
1082,-4.0,Second Moving
1083,-4.0,Second Moving
1084,-3.0,Second Moving
1085,0.0,Second Moving
1086,-1.0,Second Moving
1087,-4.0,Second Moving
1088,-4.0,Second Moving
1089,-1.0,Second Moving
1090,0.0,Second Moving
1091,0.0,Second Moving
1092,-4.0,Second Moving
1093,4.0,Second Moving
1094,-3.0,Second Moving
1095,-2.0,Second Moving
1096,-2.0,Second Moving
1097,-1.0,Second Moving
1098,-2.0,Second Moving
1099,0.0,Second Moving
1100,0.0,Second Moving
1101,-2.0,Second Moving
1102,0.0,Second Moving
1103,-1.0,Second Moving
1104,0.0,Second Moving
1105,-2.0,Second Moving
1106,0.0,Second Moving
1107,0.0,Second Moving
1108,-4.0,Second Moving
1109,-2.0,Second Moving
1110,-2.0,Second Moving
1111,-3.0,Second Moving
1112,-2.0,Second Moving
1113,-4.0,Second Moving
1114,-1.0,Second Moving
1115,-4.0,Second Moving
1116,-4.0,Second Moving
1117,-4.0,Second Moving
1118,-4.0,Second Moving
1119,0.0,Second Moving
1120,-2.0,Second Moving
1121,-1.0,Second Moving
1122,0.0,Second Moving
1123,-1.0,Second Moving
1124,-4.0,Second Moving
1125,-4.0,Second Moving
1126,-2.0,Second Moving
1127,-2.0,Second Moving
1128,0.0,Second Moving
1129,-2.0,Second Moving
1130,-2.0,Second Moving
1131,-4.0,Second Moving
1132,0.0,Second Moving
1133,0.0,Second Moving
1134,-1.0,Second Moving
1135,-1.0,Second Moving
1136,-3.0,Second Moving
1137,0.0,Second Moving
1138,-2.0,Second Moving
1139,-2.0,Second Moving
1140,4.0,Second Moving
1141,-2.0,Second Moving
1142,-2.0,Second Moving
1143,-2.0,Second Moving
1144,0.0,Second Moving
1145,-2.0,Second Moving
1146,-5.0,Second Moving
1147,-4.0,Second Moving
1148,-2.0,Second Moving
1149,0.0,Second Moving
1150,-4.0,Second Moving
1151,0.0,Second Moving
1152,-2.0,Second Moving
1153,-1.0,Second Moving
1154,-2.0,Second Moving
1155,-1.0,Second Moving
1156,-1.0,Second Moving
1157,-4.0,Second Moving
1158,-2.0,Second Moving
1159,0.0,Second Moving
1160,-2.0,Second Moving
1161,-2.0,Second Moving
1162,0.0,Second Moving
1163,-4.0,Second Moving
1164,-2.0,Second Moving
1165,-2.0,Second Moving
1166,-3.0,Second Moving
1167,4.0,Second Moving
1168,-3.0,Second Moving
1169,-1.0,Second Moving
1170,-6.0,Second Moving
1171,-4.0,Second Moving
1172,-2.0,Second Moving
1173,0.0,Second Moving
1174,-4.0,Second Moving
1175,2.0,Second Moving
1176,0.0,Second Moving
1177,0.0,Second Moving
1178,-4.0,Second Moving
1179,-1.0,Second Moving
1180,-5.0,Second Moving
1181,-5.0,Second Moving
1182,-7.0,Second Moving
1183,-2.0,Second Moving
1184,4.0,Second Moving
1185,-1.0,Second Moving
1186,2.0,Second Moving
1187,-2.0,Second Moving
1188,-2.0,Second Moving
1189,-4.0,Second Moving
1190,2.0,Second Moving
1191,-4.0,Second Moving
1192,0.0,Second Moving
1193,-4.0,Second Moving
1194,2.0,Second Moving
1195,0.0,Second Moving
1196,-2.0,Second Moving
1197,0.0,Second Moving
1198,-3.0,Second Moving
1199,-2.0,Second Moving
1200,-5.0,Second Moving
1201,-4.0,Second Moving
1202,0.0,Second Moving
1203,-2.0,Second Moving
1204,-2.0,Second Moving
1205,-2.0,Second Moving
1206,-3.0,Second Moving
1207,0.0,Second Moving
1208,-4.0,Second Moving
1209,-7.0,Second Moving
1210,-4.0,Second Moving
1211,-3.0,Second Moving
1212,4.0,Second Moving
1213,-3.0,Second Moving
